Experiences {Survived(1)/died(0)},"Social Class(1st, 2nd and 3rd)",Name
0,3,Mr. Rahamin Haim Moutal
1,2,Master. Alden Gates Caldwell
1,3,Miss. Elizabeth Dowdell
0,3,Mr. Achille Waelens
1,3,Mr. Jan Baptist Sheerlinck
1,3,Miss. Brigdet Delia McDermott
0,1,Mr. Francisco M Carrau
1,2,Miss. Bertha Ilett
1,3,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom
0,3,Mr. William Neal Ford
0,3,Mr. Selman Francis Slocovski
1,1,Miss. Mabel Helen Fortune
0,3,Mr. Francesco Celotti
0,3,Mr. Emil Christmann
0,3,Mr. Paul Edvin Andreasson
0,1,Mr. Herbert Fuller Chaffee
0,3,Mr. Bertram Frank Dean
0,3,Mr. Daniel Coxon
0,3,Mr. Charles Joseph Shorney
0,1,Mr. George B Goldschmidt
1,1,Mr. William Bertram Greenfield
1,2,Mrs. John T (Ada Julia Bone) Doling
0,2,Mr. Sinai Kantor
0,3,Miss. Matilda Petranec
0,3,Mr. Pastcho Petroff
0,1,Mr. Richard Frasar White
0,3,Mr. Gustaf Joel Johansson
0,3,Mr. Anders Vilhelm Gustafsson
0,3,Mr. Stoytcho Mionoff
1,3,Miss. Anna Kristine Salkjelsvik
1,3,Mr. Albert Johan Moss
0,3,Mr. Tido Rekic
1,3,Miss. Bertha Moran
0,1,Mr. Walter Chamberlain Porter
0,3,Miss. Hileni Zabour
0,3,Mr. David John Barton
0,3,Miss. Katriina Jussila
0,3,Miss. Malake Attalah
0,3,Mr. Edvard Pekoniemi
0,3,Mr. Patrick Connors
0,2,Mr. William John Robert Turpin
0,1,Mr. Quigg Edmond Baxter
0,3,Miss. Ellis Anna Maria Andersson
0,2,Mr. Stanley George Hickman
0,3,Mr. Leonard Charles Moore
0,2,Mr. Nicholas Nasser
1,2,Miss. Susan Webber
0,1,Mr. Percival Wayland White
1,3,Master. Elias Nicola-Yarred
0,3,Mr. Martin McMahon
1,3,Mr. Fridtjof Arne Madsen
1,3,Miss. Anna Peter
0,3,Mr. Johan Ekstrom
0,3,Mr. Jozef Drazenoic
0,3,Mr. Domingos Fernandeo Coelho
0,3,Mrs. Alexander A (Grace Charity Laury) Robins
1,2,Mrs. Leopold (Mathilde Francoise Pede) Weisz
0,2,Mr. Samuel James Hayden Sobey
0,2,Mr. Emile Richard
1,1,Miss. Helen Monypeny Newsom
0,1,Mr. Jacques Heath Futrelle
0,3,Mr. Olaf Elon Osen
0,1,Mr. Victor Giglio
0,3,Mrs. Joseph (Sultana) Boulos
1,3,Miss. Anna Sofia Nysten
1,3,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen
0,3,Mr. Jeremiah Burke
0,2,Mr. Edgardo Samuel Andrew
0,2,Mr. Joseph Charles Nicholls
1,3,Mr. August Edvard Andersson
0,3,Miss. Robina Maggie Ford
0,2,Mr. Michel Navratil
0,2,Rev. Thomas Roussel Davids Byles
0,2,Rev. Robert James Bateman
1,1,Mrs. Thomas (Edith Wearne) Pears
0,3,Mr. Alfonzo Meo
0,3,Mr. Austin Blyler van Billiard
0,3,Mr. Ole Martin Olsen
0,1,Mr. Charles Duane Williams
1,3,Miss. Katherine Gilnagh
0,3,Mr. Harry Corn
0,3,Mr. Mile Smiljanic
0,3,Master. Thomas Henry Sage
0,3,Mr. John Hatfield Cribb
1,2,Mrs. James (Elizabeth Inglis Milne) Watt
0,3,Mr. John Viktor Bengtsson
0,3,Mr. Jovo Calic
0,3,Master. Eino Viljami Panula
1,3,Master. Frank John William Goldsmith
1,1,Mrs. (Edith Martha Bowerman) Chibnall
0,3,Mrs. William (Anna Bernhardina Karlsson) Skoog
0,1,Mr. John D Baumann
0,3,Mr. Lee Ling
0,1,Mr. Wyckoff Van der hoef
0,3,Master. Arthur Rice
1,3,Miss. Eleanor Ileen Johnson
0,3,Mr. Antti Wilhelm Sivola
0,1,Mr. James Clinch Smith
0,3,Mr. Klas Albin Klasen
0,3,Master. Henry Forbes Lefebre
0,1,Miss. Ann Elizabeth Isham
0,2,Mr. Reginald Hale
0,3,Mr. Lionel Leonard
0,3,Miss. Constance Gladys Sage
0,2,Mr. Rene Pernot
0,3,Master. Clarence Gustaf Hugo Asplund
1,2,Master. Richard F Becker
1,3,Miss. Luise Gretchen Kink-Heilmann
0,1,Mr. Hugh Roscoe Rood
1,3,Mrs. Thomas (Johanna Godfrey) O'Brien
1,1,Mr. Charles Hallace Romaine
0,3,Mr. John Bourke
0,3,Mr. Stjepan Turcin
1,2,Mrs. (Rosa) Pinsky
0,2,Mr. William Carbines
1,3,Miss. Carla Christine Nielsine Andersen-Jensen
1,2,Master. Michel M Navratil
1,1,Mrs. James Joseph (Margaret Tobin) Brown
1,1,Miss. Elise Lurette
0,3,Mr. Robert Mernagh
0,3,Mr. Karl Siegwart Andreas Olsen
1,3,Miss. Margaret Madigan
0,2,Miss. Henriette Yrois
0,3,Mr. Nestor Cyriel Vande Walle
0,3,Mr. Frederick Sage
0,3,Mr. Jakob Alfred Johanson
0,3,Mr. Gerious Youseff
1,3,Mr. Gurshon Cohen
0,3,Miss. Telma Matilda Strom
0,3,Mr. Karl Alfred Backstrom
1,3,Mr. Nassef Cassem Albimona
1,3,Miss. Helen Carr
1,1,Mr. Henry Blank
0,3,Mr. Ahmed Ali
1,2,Miss. Clear Annie Cameron
0,3,Mr. John Henry Perkin
0,2,Mr. Hans Kristensen Givard
0,3,Mr. Philip Kiernan
1,1,Miss. Madeleine Newell
1,3,Miss. Eliina Honkanen
0,2,Mr. Sidney Samuel Jacobsohn
1,1,Miss. Albina Bazzani
0,2,Mr. Walter Harris
1,3,Mr. Victor Francis Sunderland
0,2,Mr. James H Bracken
0,3,Mr. George Henry Green
0,3,Mr. Christo Nenkoff
1,1,Mr. Frederick Maxfield Hoyt
0,3,Mr. Karl Ivar Sven Berglund
1,2,Mr. William John Mellors
0,3,Mr. John Hall Lovell
0,2,Mr. Arne Jonas Fahlstrom
0,3,Miss. Mathilde Lefebre
1,1,Mrs. Henry Birkhardt (Irene Wallach) Harris
0,3,Mr. Bengt Edvin Larsson
0,2,Mr. Ernst Adolf Sjostedt
1,3,Miss. Lillian Gertrud Asplund
0,2,Mr. Robert William Norman Leyson
0,3,Miss. Alice Phoebe Harknett
0,2,Mr. Stephen Hold
1,2,Miss. Marjorie Collyer
0,2,Mr. Frederick William Pengelly
0,2,Mr. George Henry Hunt
0,3,Miss. Thamine Zabour
1,3,Miss. Katherine Murphy
0,2,Mr. Reginald Charles Coleridge
0,3,Mr. Matti Alexanteri Maenpaa
0,3,Mr. Sleiman Attalah
0,1,Dr. William Edward Minahan
0,3,Miss. Agda Thorilda Viktoria Lindahl
1,2,Mrs. William (Anna) Hamalainen
1,1,Mr. Richard Leonard Beckwith
0,2,Rev. Ernest Courtenay Carter
0,3,Mr. James George Reed
0,3,Mrs. Wilhelm (Elna Matilda Persson) Strom
0,1,Mr. William Thomas Stead
0,3,Mr. William Arthur Lobb
0,3,Mrs. Viktor (Helena Wilhelmina) Rosblom
1,3,Mrs. Darwis (Hanne Youssef Razi) Touma
1,1,Mrs. Gertrude Maybelle Thorne
1,1,Miss. Gladys Cherry
1,1,Miss. Anna Ward
1,2,Mrs. (Lutie Davis) Parrish
1,3,Master. Edvin Rojj Felix Asplund
0,1,Mr. Emil Taussig
0,1,Mr. William Harrison
0,3,Miss. Delia Henry
0,2,Mr. David Reeves
0,3,Mr. Ernesti Arvid Panula
1,3,Mr. Ernst Ulrik Persson
1,1,Mrs. William Thompson (Edith Junkins) Graham
1,1,Miss. Amelia Bissette
0,1,Mr. Alexander Cairns
1,3,Mr. William Henry Tornquist
1,2,Mrs. (Elizabeth Anne Maidment) Mellinger
0,1,Mr. Charles H Natsch
1,3,Miss. Hanora Healy
1,1,Miss. Kornelia Theodosia Andrews
0,3,Miss. Augusta Charlotta Lindblom
0,2,Mr. Francis Parkes
0,3,Master. Eric Rice
1,3,Mrs. Stanton (Rosa Hunt) Abbott
0,3,Mr. Frank Duane
0,3,Mr. Nils Johan Goransson Olsson
0,3,Mr. Alfons de Pelsmaeker
1,3,Mr. Edward Arthur Dorking
0,1,Mr. Richard William Smith
0,3,Mr. Ivan Stankovic
1,3,Mr. Theodore de Mulder
0,3,Mr. Penko Naidenoff
1,2,Mr. Masabumi Hosono
1,3,Miss. Kate Connolly
1,1,Miss. Ellen Barber
1,1,Mrs. Dickinson H (Helen Walton) Bishop
0,2,Mr. Rene Jacques Levy
0,3,Miss. Aloisia Haas
0,3,Mr. Ivan Mineff
0,1,Mr. Ervin G Lewy
0,3,Mr. Mansour Hanna
0,1,Miss. Helen Loraine Allison
1,1,Mr. Adolphe Saalfeld
1,1,Mrs. James (Helene DeLaudeniere Chaput) Baxter
1,3,Miss. Anna Katherine Kelly
1,3,Mr. Bernard McCoy
0,3,Mr. William Cahoone Jr Johnson
1,2,Miss. Nora A Keane
0,3,Mr. Howard Hugh Williams
1,1,Master. Hudson Trevor Allison
1,1,Miss. Margaret Fleming
1,1,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana
0,2,Mr. Samuel Abelson
1,1,Miss. Laura Mabel Francatelli
1,1,Miss. Margaret Bechstein Hays
1,1,Miss. Emily Borie Ryerson
0,2,Mrs. William (Anna Sylfven) Lahtinen
0,3,Mr. Ignjac Hendekovic
0,2,Mr. Benjamin Hart
1,3,Miss. Helmina Josefina Nilsson
1,2,Mrs. Sinai (Miriam Sternin) Kantor
0,2,Dr. Ernest Moraweck
1,1,Miss. Mary Natalie Wick
1,1,Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden
0,3,Mr. Samuel Dennis
0,3,Mr. Yoto Danoff
1,2,Miss. Hilda Mary Slayter
1,2,Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell
0,3,Mr. George John Jr Sage
1,1,Miss. Marie Grice Young
0,3,Mr. Johan Hansen Nysveen
1,2,Mrs. (Ada E Hall) Ball
1,3,Mrs. Frank John (Emily Alice Brown) Goldsmith
1,1,Miss. Jean Gertrude Hippach
1,3,Miss. Agnes McCoy
0,1,Mr. Austen Partner
0,1,Mr. George Edward Graham
0,3,Mr. Leo Edmondus Vander Planke
1,1,Mrs. Henry William (Clara Heinsheimer) Frauenthal
0,3,Mr. Mitto Denkoff
0,1,Mr. Thomas Clinton Pears
1,1,Miss. Elizabeth Margaret Burns
1,3,Mr. Karl Edwart Dahl
0,1,Mr. Stephen Weart Blackwell
1,2,Master. Edmond Roger Navratil
1,1,Miss. Alice Elizabeth Fortune
0,2,Mr. Erik Gustaf Collander
0,2,Mr. Charles Frederick Waddington Sedgwick
0,2,Mr. Stanley Hubert Fox
1,2,Miss. Amelia Brown
1,2,Miss. Marion Elsie Smith
1,3,Mrs. Thomas Henry (Mary E Finck) Davison
1,3,Master. William Loch Coutts
0,3,Mr. Jovan Dimic
0,3,Mr. Nils Martin Odahl
0,1,Mr. Fletcher Fellows Williams-Lambert
0,3,Mr. Tannous Elias
0,3,Mr. Josef Arnold-Franchi
0,3,Mr. Wazli Yousif
0,3,Mr. Leo Peter Vanden Steen
1,1,Miss. Elsie Edith Bowerman
0,2,Miss. Annie Clemmer Funk
1,3,Miss. Mary McGovern
1,3,Miss. Helen Mary Mockler
0,3,Mr. Wilhelm Skoog
0,2,Mr. Sebastiano del Carlo
0,3,Mrs. (Catherine David) Barbara
0,3,Mr. Adola Asim
0,3,Mr. Thomas O'Brien
0,3,Mr. Mauritz Nils Martin Adahl
1,1,Mrs. Frank Manley (Anna Sophia Atkinson) Warren
1,3,Mrs. (Mantoura Boulos) Moussa
1,3,Miss. Annie Jermyn
1,1,Mme. Leontine Pauline Aubart
1,1,Mr. George Achilles Harder
0,3,Mr. Jakob Alfred Wiklund
0,3,Mr. William Thomas Beavan
0,1,Mr. Sante Ringhini
0,3,Miss. Stina Viola Palsson
1,1,Mrs. Edgar Joseph (Leila Saks) Meyer
1,3,Miss. Aurora Adelia Landergren
0,1,Mr. Harry Elkins Widener
0,3,Mr. Tannous Betros
0,3,Mr. Karl Gideon Gustafsson
1,1,Miss. Rosalie Bidois
1,3,Miss. Maria Nakid
0,3,Mr. Juho Tikkanen
1,1,Mrs. Alexander Oskar (Mary Aline Towner) Holverson
0,3,Mr. Vasil Plotcharsky
0,2,Mr. Charles Henry Davies
0,3,Master. Sidney Leonard Goodwin
1,2,Miss. Kate Buss
0,3,Mr. Matthew Sadlier
1,2,Miss. Bertha Lehmann
1,1,Mr. William Ernest Carter
1,3,Mr. Carl Olof Jansson
0,3,Mr. Johan Birger Gustafsson
1,1,Miss. Marjorie Newell
1,3,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom
0,3,Mr. Erik Johansson
0,3,Miss. Elina Olsson
0,2,Mr. Peter David McKane
0,2,Dr. Alfred Pain
1,2,Mrs. William H (Jessie L) Trout
1,3,Mr. Juha Niskanen
0,3,Mr. John Adams
0,3,Miss. Mari Aina Jussila
0,3,Mr. Pekka Pietari Hakkarainen
0,3,Miss. Marija Oreskovic
0,2,Mr. Shadrach Gale
0,3,Mr. Carl/Charles Peter Widegren
1,2,Master. William Rowe Richards
0,3,Mr. Hans Martin Monsen Birkeland
0,3,Miss. Ida Lefebre
0,3,Mr. Todor Sdycoff
0,3,Mr. Henry Hart
1,1,Miss. Daisy E Minahan
0,2,Mr. Alfred Fleming Cunningham
1,3,Mr. Johan Julian Sundman
0,3,Mrs. Thomas (Annie Louise Rowley) Meek
1,2,Mrs. James Vivian (Lulu Thorne Christian) Drew
1,2,Miss. Lyyli Karoliina Silven
0,2,Mr. William John Matthews
0,3,Miss. Catharina Van Impe
0,3,Mr. David Charters
0,3,Mr. Leo Zimmerman
0,3,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom
0,3,Mr. Viktor Richard Rosblom
0,3,Mr. Phillippe Wiseman
1,2,Mrs. Charles V (Ada Maria Winfield) Clarke
1,2,Miss. Kate Florence Phillips
0,3,Mr. James Flynn
1,3,Mr. Berk (Berk Trembisky) Pickard
1,1,Mr. Mauritz Hakan Bjornstrom-Steffansson
1,3,Mrs. Percival (Florence Kate White) Thorneycroft
1,2,Mrs. Charles Alexander (Alice Adelaide Slow) Louch
0,3,Mr. Nikolai Erland Kallio
0,1,Mr. William Baird Silvey
1,1,Miss. Lucile Polk Carter
0,3,Miss. Doolina Margaret Ford
1,2,Mrs. Sidney (Emily Hocking) Richards
0,1,Mr. Mark Fortune
0,2,Mr. Johan Henrik Johannesson Kvillner
1,2,Mrs. Benjamin (Esther Ada Bloomfield) Hart
0,3,Mr. Leon Hampe
0,3,Mr. Johan Emil Petterson
1,2,Ms. Encarnacion Reynaldo
1,3,Mr. Bernt Johannesen-Bratthammer
1,1,Master. Washington Dodge
1,2,Miss. Madeleine Violet Mellinger
1,1,Mr. Frederic Kimber Seward
1,3,Miss. Marie Catherine Baclini
1,1,Major. Arthur Godfrey Peuchen
0,2,Mr. Edwy Arthur West
0,3,Mr. Ingvald Olai Olsen Hagland
0,1,Mr. Benjamin Laventall Foreman
1,1,Mr. Samuel L Goldenberg
0,3,Mr. Joseph Peduzzi
1,3,Mr. Ivan Jalsevac
0,1,Mr. Francis Davis Millet
1,1,Mrs. Frederick R (Marion) Kenyon
1,2,Miss. Ellen Toomey
0,3,Mr. Maurice O'Connor
1,1,Mr. Harry Anderson
0,3,Mr. William Morley
0,1,Mr. Arthur H Gee
0,2,Mr. Jacob Christian Milling
0,3,Mr. Simon Maisner
0,3,Mr. Manuel Estanslas Goncalves
0,2,Mr. William Campbell
0,1,Mr. John Montgomery Smart
0,3,Mr. James Scanlan
1,3,Miss. Helene Barbara Baclini
0,3,Mr. Arthur Keefe
0,3,Mr. Luka Cacic
1,2,Mrs. Edwy Arthur (Ada Mary Worth) West
1,2,Mrs. Amin S (Marie Marthe Thuillard) Jerwan
0,3,Miss. Ida Sofia Strandberg
0,1,Mr. George Quincy Clifford
0,2,Mr. Peter Henry Renouf
0,3,Mr. Lewis Richard Braund
0,3,Mr. Nils August Karlsson
1,3,Miss. Hildur E Hirvonen
0,3,Master. Harold Victor Goodwin
0,2,Mr. Anthony Wood Frost
0,3,Mr. Richard Henry Rouse
1,3,Mrs. (Hedwig) Turkula
1,1,Mr. Dickinson H Bishop
0,3,Miss. Jeannie Lefebre
1,1,Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt
0,1,Mr. Edward Austin Kent
0,3,Mr. Francis William Somerton
1,3,Master. Eden Leslie Coutts
0,3,Mr. Konrad Mathias Reiersen Hagland
0,3,Mr. Einar Windelov
0,1,Mr. Harry Markland Molson
0,1,Mr. Ramon Artagaveytia
0,3,Mr. Edward Roland Stanley
0,3,Mr. Gerious Yousseff
1,1,Miss. Elizabeth Mussey Eustis
0,3,Mr. Frederick William Shellard
0,1,Mrs. Hudson J C (Bessie Waldo Daniels) Allison
0,3,Mr. Olof Svensson
0,3,Mr. Petar Calic
0,3,Miss. Mary Canavan
0,3,Miss. Bridget Mary O'Sullivan
0,3,Miss. Kristina Sofia Laitinen
1,1,Miss. Roberta Maioni
0,1,Mr. Victor de Satode Penasco y Castellana
1,2,Mrs. Frederick Charles (Jane Richards) Quick
1,1,Mr. George Bradley
0,3,Mr. Henry Margido Olsen
1,3,Mr. Fang Lang
1,3,Mr. Eugene Patrick Daly
0,3,Mr. James Webber
1,1,Mr. James Robert McGough
1,1,Mrs. Martin (Elizabeth L. Barrett) Rothschild
0,3,Mr. Satio Coleff
0,1,Mr. William Anderson Walker
1,2,Mrs. (Amelia Milley) Lemore
0,3,Mr. Patrick Ryan
1,2,Mrs. William A (Florence Agnes Hughes) Angle
0,3,Mr. Stefo Pavlovic
1,1,Miss. Anne Perreault
0,3,Mr. Janko Vovk
0,3,Mr. Sarkis Lahoud
1,1,Mrs. Louis Albert (Ida Sophia Fischer) Hippach
0,3,Mr. Fared Kassem
0,3,Mr. James Farrell
1,2,Miss. Lucy Ridsdale
0,1,Mr. John Farthing
0,3,Mr. Johan Werner Salonen
0,2,Mr. Richard George Hocking
1,2,Miss. Phyllis May Quick
0,3,Mr. Nakli Toufik
0,3,Mr. Joseph Jr Elias
1,3,Mrs. Catherine (Catherine Rizk) Peter
0,3,Miss. Marija Cacic
1,2,Miss. Eva Miriam Hart
0,1,Major. Archibald Willingham Butt
1,1,Miss. Bertha LeRoy
0,3,Mr. Samuel Beard Risien
1,1,Miss. Hedwig Margaritha Frolicher
1,1,Miss. Harriet R Crosby
0,3,Miss. Ingeborg Constanzia Andersson
0,3,Miss. Sigrid Elisabeth Andersson
1,2,Mr. Edward Beane
0,1,Mr. Walter Donald Douglas
0,1,Mr. Arthur Ernest Nicholson
1,2,Mrs. Edward (Ethel Clarke) Beane
1,2,Mr. Julian Padro y Manent
0,3,Mr. Frank John Goldsmith
1,2,Master. John Morgan Jr Davies
1,1,Mr. John Borland Jr Thayer
0,2,Mr. Percival James R Sharp
0,3,Mr. Timothy O'Brien
1,3,Mr. Fahim Leeni
1,3,Miss. Velin Ohman
0,1,Mr. George Wright
1,1,Lady. (Lucille Christiana Sutherland)Duff Gordon
0,1,Mr. Victor Robbins
1,1,Mrs. Emil (Tillie Mandelbaum) Taussig
1,3,Mrs. Guillaume Joseph (Emma) de Messemaeker
0,3,Mr. Thomas Rowan Morrow
0,3,Mr. Husein Sivic
0,2,Mr. Robert Douglas Norman
0,3,Mr. John Simmons
0,3,Miss. (Marion Ogden) Meanwell
0,3,Mr. Alfred J Davies
0,3,Mr. Ilia Stoytcheff
0,3,Mrs. Nils (Alma Cornelia Berglund) Palsson
0,3,Mr. Tannous Doharr
1,3,Mr. Carl Jonsson
1,2,Mr. George Harris
1,1,Mrs. Edward Dale (Charlotte Lamson) Appleton
1,1,Mr. John Irwin Flynn
1,3,Miss. Mary Kelly
0,3,Mr. Alfred George John Rush
0,3,Mr. George Patchett
1,2,Miss. Ethel Garside
1,1,Mrs. William Baird (Alice Munger) Silvey
0,3,Mrs. Joseph (Maria Elias) Caram
1,3,Mr. Eiriik Jussila
1,2,Miss. Julie Rachel Christy
1,1,Mrs. John Borland (Marian Longstreth Morris) Thayer
0,2,Mr. William James Downton
0,1,Mr. John Hugo Ross
0,3,Mr. Uscher Paulner
1,1,Miss. Ruth Taussig
0,2,Mr. John Denzil Jarvis
1,1,Mr. Maxmillian Frolicher-Stehli
0,3,Mr. Eliezer Gilinski
0,3,Mr. Joseph Murdlin
0,3,Mr. Matti Rintamaki
1,1,Mrs. Walter Bertram (Martha Eustis) Stephenson
0,3,Mr. William James Elsbury
0,3,Miss. Mary Bourke
0,2,Mr. John Henry Chapman
0,3,Mr. Jean Baptiste Van Impe
1,2,Miss. Jessie Wills Leitch
0,3,Mr. Alfred Johnson
0,3,Mr. Hanna Boulos
1,1,Sir. Cosmo Edmund Duff Gordon
1,2,Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn
0,3,Mr. Petco Slabenoff
0,1,Mr. Charles H Harrington
0,3,Mr. Ernst William Torber
1,1,Mr. Harry Homer
0,3,Mr. Edvard Bengtsson Lindell
0,3,Mr. Milan Karaic
1,1,Mr. Robert Williams Daniel
1,2,Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche
1,1,Miss. Elizabeth W Shutes
0,3,Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson
0,3,Mr. Jose Neto Jardin
1,3,Miss. Margaret Jane Murphy
0,3,Mr. John Horgan
0,3,Mr. William Alfred Brocklebank
1,2,Miss. Alice Herman
0,3,Mr. Ernst Gilbert Danbom
0,3,Mrs. William Arthur (Cordelia K Stanlick) Lobb
1,2,Miss. Marion Louise Becker
0,2,Mr. Lawrence Gavey
0,3,Mr. Antoni Yasbeck
1,1,Mr. Edwin Nelson Jr Kimball
1,3,Mr. Sahid Nakid
0,3,Mr. Henry Damsgaard Hansen
0,3,Mr. David John Bowen
0,1,Mr. Frederick Sutton
0,2,Rev. Charles Leonard Kirkland
1,1,Miss. Gretchen Fiske Longley
0,3,Mr. Guentcho Bostandyeff
0,3,Mr. Patrick D O'Connell
1,1,Mr. Algernon Henry Wilson Barkworth
0,3,Mr. Johan Svensson Lundahl
1,1,Dr. Max Stahelin-Maeglin
0,1,Mr. William Henry Marsh Parr
0,3,Miss. Mabel Skoog
1,2,Miss. Mary Davis
0,3,Mr. Antti Gustaf Leinonen
0,2,Mr. Harvey Collyer
0,3,Mrs. Juha (Maria Emilia Ojala) Panula
0,3,Mr. Percival Thorneycroft
0,3,Mr. Hans Peder Jensen
1,1,Mlle. Emma Sagesser
0,3,Miss. Margit Elizabeth Skoog
1,3,Mr. Choong Foo
1,3,Miss. Eugenie Baclini
1,1,Mr. Henry Sleeper Harper
0,3,Mr. Liudevit Cor
1,1,Col. Oberst Alfons Simonius-Blumer
0,3,Mr. Edward Willey
1,3,Miss. Amy Zillah Elsie Stanley
0,3,Mr. Mito Mitkoff
1,2,Miss. Elsie Doling
0,3,Mr. Johannes Halvorsen Kalvik
1,3,Miss. Hanora O'Leary
0,3,Miss. Hanora Hegarty
0,2,Mr. Leonard Mark Hickman
0,3,Mr. Alexander Radeff
0,3,Mrs. John (Catherine) Bourke
0,2,Mr. George Floyd Eitemiller
0,1,Mr. Arthur Webster Newell
1,1,Dr. Henry William Frauenthal
0,3,Mr. Mohamed Badt
0,1,Mr. Edward Pomeroy Colley
0,3,Mr. Peju Coleff
1,3,Mr. Eino William Lindqvist
0,2,Mr. Lewis Hickman
0,2,Mr. Reginald Fenton Butler
0,3,Mr. Knud Paust Rommetvedt
0,3,Mr. Jacob Cook
1,1,Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor
1,2,Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown
0,1,Mr. Thornton Davidson
0,2,Mr. Henry Michael Mitchell
1,2,Mr. Charles Wilhelms
0,2,Mr. Ennis Hastings Watson
0,3,Mr. Gustaf Hjalmar Edvardsson
0,3,Mr. Frederick Charles Sawyer
1,3,Miss. Anna Sofia Turja
0,3,Mrs. Frederick (Augusta Tyler) Goodwin
1,1,Mr. Thomas Drake Martinez Cardeza
0,3,Miss. Katie Peters
1,1,Mr. Hammad Hassab
0,3,Mr. Thor Anderson Olsvigen
0,3,Mr. Charles Edward Goodwin
0,2,Mr. Thomas William Solomon Brown
0,2,Mr. Joseph Philippe Lemercier Laroche
0,3,Mr. Jaako Arnold Panula
0,3,Mr. Branko Dakic
