Name.,Home City.,Rating.,Saved.,Lifeboat.,Body Disposition.
"Kemish, George",Southampton,Fireman,saved,9,.
"Kemp, Thos",Southampton,Executive fourth assistant engineer,.,.,.
"Kenchenten, Fredrick",Southampton,Greaser,.,.,.
"Kenzler, A.",Southampton,Storekeeper,.,.,.
"Kerr, T.",Southampton,Fireman,.,.,.
"Kinsella, L.",Southampton,Fireman,.,.,.
"Kirkham, J.",Southampton,Greaser,.,.,.
"Knowles, T.",Lymington,Firemen's messman,saved,.,.
"Lahy, T.",E. Dulwich,Fireman,.,.,.
"Lee, H.",Southampton,Trimmer,.,.,.
"Light, C.",Southampton,Fireman,.,.,.
"Light, W.",Southampton,Fireman,.,.,.
"Lindsay, W.",Southampton,Fireman,saved,.,.
"Lloyd, W.",Southampton,Fireman,.,.,.
"Long, F.",Southampton,Trimmer,.,.,.
"Long, W.",Southampton,Trimmer,.,.,.
"Mackie, W. D.",London,Junior fifth assistant engineer,.,.,.
"Magee, W.",Stirling,Senior sixth assistant engineer,.,.,.
"Major, W.",Southampton,Fireman,saved,13,.
"Marrett, G.",Southampton,Fireman,.,.,.
"Marsh, F.",Southampton,Fireman,.,.,.
"Maskell, L.",Southampton,Trimmer,.,.,.
"Mason, F.",Southampton,Fireman,saved,.,.
"Mason, J.",Southampton,Leading fireman,.,.,.
"May, A. W.",Northam,Fireman's messman,.,.,.
"May, Arthur",Southampton,Fireman,.,.,.
"Mayo, W.",Southampton,Leading fireman,.,.,.
"Mayzes, T.",Southampton,Fireman,saved,.,.
"McAndrew, Thos",Southampton,Fireman,.,.,.
"McAndrews, W.",?,Fireman,.,.,.
"McCastlen, W.",Southampton,Fireman,.,.,.
"McGann, James",Southampton,Trimmer,saved,Collapsible B,.
"McGarvey, E.",Southampton,Fireman,.,.,.
"McGaw, E.",Southampton,Fireman,.,.,.
"McGregor, J.",Southampton,Fireman,.,.,.
"McInerney, T.",Liverpool,Greaser,.,.,.
"McIntyre, William",Southampton,Trimmer,saved,.,.
"McQuillan, William",Belfast,Fireman,.,.,.
"McRae, William",Southampton,Fireman,.,.,.
"McReynolds, W.",Belfast,Junior sixth assistant engineer,.,.,.
"Middleton, Alfred Pirrie","Ballisare, Sligo",Assistant electrician,.,.,.
"Milford, George",Southampton,Fireman,.,.,.
"Millar, R.","Alloa, N. B.",Extra fifth assistant engineer,.,.,.
"Millar, T.",Belfast,Assistant deck engineer,.,.,.
"Mintram, W.",Southampton,Fireman,.,.,.
"Mitchell, B.",Southampton,Trimmer,.,.,.
"Moore, J.",Southampton,Fireman,saved,.,.
"Moore, R.","Headbourne, W. F.",Trimmer,.,.,.
"Moores, R.",Southampton,Greaser,.,.,.
"Morgan, A.",Southampton,Trimmer,.,.,.
"Morgan, T.",Southampton,Fireman,.,.,.
"Morrell, R.",Southampton,Trimmer,.,.,.
"Morris, A.",Southampton,Greaser,.,.,.
"Morris, W.",Southampton,Trimmer,.,.,.
"Murdoch, W.",Southampton,Fireman,saved,.,.
"Nettleton, G.",Southampton,Fireman,.,.,.
"Newman, C.",Southampton,Storekeeper,.,.,.
"Noon, John",Southampton,Fireman,.,.,.
"Norris, J.",Southampton,Fireman,.,.,.
"Noss, B.",Southampton,Fireman,.,.,.
"Noss, H.",Southampton,Fireman,saved,.,.
"Nutbean, William",Southampton,Fireman,saved,.,.
"O'Connor, John",Southampton,Trimmer,saved,.,.
"Olive, C.",Southampton,Greaser,.,.,.
"Oliver, H.",Southampton,Fireman,saved,.,.
"Othen, C.",Southampton,Fireman,saved,.,.
"Paice, R.",Southampton,Fireman,.,.,.
"Painter, Charles",Southampton,Fireman,.,.,.
"Painter, F.",Southampton,Fireman,.,.,.
"Palles, T.",Liverpool,Greaser,.,.,.
"Pand, G.",Southampton,Fireman,.,.,.
"Parsons, F. A.",Southampton,Senior firth assistant engineer,.,.,.
"Pearce, J.",Southampton,Fireman,saved,.,.
"Pelham, G.",Southampton,Trimmer,saved,.,.
"Perry, E.",Southampton,Trimmer,saved,.,.
"Perry, H.",Southampton,Trimmer,.,.,.
"Phillips, G.",Southampton,Greaser,.,.,.
"Pitfield, W.","Woolston, Hampshire",Greaser,.,.,.
"Podesta, J.",Southampton,Fireman,saved,.,.
"Pregnall, George",Southampton,Greaser,saved,.,.
"Preston, Thomas",Southampton,Trimmer,.,.,.
"Priest, John",Southampton,Fireman,saved,.,.
"Proudfoot, R.",Southampton,Trimmer,.,.,.
"Pugh, P.","Northam, Hampshire",Leading fireman,.,.,.
"Pusey, Robert",Southampton,Fireman,saved,1,.
"Ranger, Thomas (listed as Granger in TAT)",Southampton,Greaser,saved,4,.
"Read, J.",Southampton,Trimmer,.,.,.
"Reed, R.",Southampton,Trimmer,.,.,.
"Reeves, F.",Southampton,Fireman,.,.,.
"Rice, C.",Southampton,Fireman,saved,10,.
"Richards, H.",Southampton,Fireman,.,.,.
"Rickman, G.",Southampton,Fireman,.,.,.
"Roberts, G.",Southampton,Fireman,.,.,.
"Rous, A.",Southampton,Plumber,.,.,.
"Rudd, Henry","Northam, Hampshire","Storekeeper, engineering",.,.,.
"Sangster, C.",Southampton,Fireman,.,.,.
"Saunders, T.",Southampton,Fireman,.,.,.
"Saunders, W.",Southampton,Fireman,.,.,.
"Saunders, W.",Southampton,Trimmer,.,.,.
"Scott, Archibald",Southampton,Fireman,.,.,.
"Scott, Fred",Southampton,Greaser,saved,4 (picked up from ocean),.
"Self, A.",Southampton,Greaser,.,.,.
"Self, E.",Southampton,Fireman,saved,.,.
"Senior, Harry",London,Fireman,saved,Collapsible B,.
"Shea, Thos",Southampton,Fireman,.,.,.
"Sheath, F. (TAT lists as Shee)",Southampton,Trimmer,saved,1,.
"Shepherd, Jonathan",Southampton,Junior second assistant engineer,.,.,went down inside ship
"Shiers, Alfred (TTT lists as Shires)",Southampton,Fireman,saved,5,.
"Shilaber, C.",Southampton,Trimmer,.,.,.
"Skeats, W.",Southampton,Trimmer,.,.,.
"Sloan, P.",Southampton,Chief electrician,.,.,.
"Small, William",Southampton,Leading fireman,.,.,.
"Smith, ? (not in RCC)",?,Fireman,.,4,.
"Smith, E.",Southampton,Trimmer,.,.,.
"Smith, James M.",Southampton,Junior fourth engineer,.,.,.
"Smither, H.",Southampton,Fireman,.,.,.
"Snellgrove, G.",Southampton,Fireman,.,.,.
"Snooks, W.",Southampton,Trimmer,.,.,.
"Snow, E.",Southampton,Trimmer,saved,.,.
"Sparkman, H.",Southampton,Fireman,saved,.,.
"Stafford, M.",Southampton,Greaser,.,.,.
"Stanbrook, Augustus",Southampton,Fireman,.,.,.
"Steel, R.",?,Trimmer,.,.,.
"Stocker, H.",Southampton,Trimmer,.,.,.
"Street, A.",Southampton,Fireman,saved,.,.
"Stubbs, H.",Southampton,Fireman,.,.,.
"Sullivan, S.",Southampton,Fireman,.,.,.
"Taylor, J.",Southampton,Fireman,.,.,.
"Taylor, James",Southampton,Fireman,saved,1,.
"Taylor, T.",Southampton,Fireman,.,.,.
"Taylor, William Henry (listed as James in TIH)",Southampton,Fireman,saved,"15 (listed as being in #1 in TT, but this appears to have been James Taylor instead",.
"Thomas, J.",Southampton,Fireman,.,.,.
"Thompson, John",Liverpool,Fireman,saved,Collapsible A,.
"Threlfall, Thomas",Southampton,Leading fireman,saved,.,.
"Thresher, G.",Southampton,Fireman,saved,.,.
"Tizard, A.",Southampton,Fireman,.,.,.
"Toung, F.",Southampton,Fireman,.,.,.
"Tozer, J.",Southampton,Greaser,.,.,.
"Triggs, R.",Southampton,Fireman,saved,.,.
"Turley, R.",Southampton,Fireman,.,.,.
"Veal, A.",Southampton,Greaser,.,.,.
"Vear, H.",Southampton,Fireman,.,.,.
"Vear, W.",Southampton,Fireman,.,.,.
"Ward, Arthur",Romsey,Junior fourth assistant engineer,.,.,.
"Ward, J.",Southampton,Leading fireman,.,.,.
"Wardner, F.",Southampton,Fireman,.,.,.
"Wateridge, E.",Southampton,Fireman,.,.,.
"Watson, W.",Southampton,Fireman,.,.,.
"Webb, S.",Southampton,Trimmer,.,.,.
"Webber, F.",Southampton,Leading fireman,.,.,.
"White, Alfred",Southampton,Greaser,saved,.,.
"White, Alfred (ANTR, might be RCC's Allsop, Alfred S.?)",.,Electrician,.,.,.
"White, F.",Southampton,Trimmer,.,.,.
"White, William George",Woking,Trimmer,saved,.,.
"Williams, E.",Southampton,Fireman,.,.,.
"Wilson, Bertie",Southampton,Senior second assistant engineer,.,.,.
"Wilton, William",Southampton,Trimmer,.,.,.
"Witcher, A.",Southampton,Fireman,.,.,.
"Witt, F.",Southampton,Trimmer,.,.,.
"Witt, H.",Southampton,Fireman,.,.,.
"Woodford, H.",Southampton,Greaser,.,.,.
"Woods, H.",Southampton,Trimmer,.,.,.
"Wyeth, J.",Southampton,Fireman,.,.,.
"Young, Francis",Southampton,Fireman,.,.,.
